Unit#,LOB,Order#,Rec Req Date,stop_no,Actual Fuel Date,Next Fuel Date,Purchase Type,Actual Fuel Type,Rec Stop (P or A),Rec Stop Chain,Rec Gallons,Rec Stop PPG,Location Compliant,Gallon Over/Under ,Actual Stop,Actual Gallons,Actual PPG,PPG on Req Date,Next Actual Stop,Next PPG on Req Date,Dispatch has Re-opt,Measure Names,Actual Fuel Chain,Next Fuel Chain,Measure Values
220713,Line Haul,DHAIBJJ-01,7/2/2026,1,7/3/2026,7/4/2026,Fill,Primary,WA262,PILOT,118.2,,Y,Under,WA262,62.2,,,OR715,,N,Fuel Rec Count,PILOT,PILOT,1
220713,Line Haul,DHAIJ9A-01,7/13/2026,1,7/13/2026,7/14/2026,Fill,Primary,WA262,PILOT,95.3,,Y,Under,WA262,45.5,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-2.69734773
220713,Line Haul,DHAIJ9A-01,7/13/2026,1,7/13/2026,7/14/2026,Fill,Primary,WA262,PILOT,95.3,,Y,Under,WA262,45.5,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220713,Line Haul,DHAIJ9A-01,7/13/2026,1,7/13/2026,7/14/2026,Fill,Primary,WA262,PILOT,95.3,,Y,Under,WA262,45.5,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-2.69734773
220713,Line Haul,DHAIJ9A-01,7/13/2026,1,7/13/2026,7/14/2026,Fill,Primary,WA262,PILOT,95.3,,Y,Under,WA262,45.5,,,WA262,,N,Gallon Over/Under,PILOT,PILOT,49.83
220713,Line Haul,DHAIJ9A-01,7/13/2026,1,7/13/2026,7/14/2026,Fill,Primary,WA262,PILOT,95.3,,Y,Under,WA262,45.5,,,WA262,,N,Fuel Rec Count,PILOT,PILOT,1
220713,Line Haul,DHAIK7A-01,7/14/2026,1,7/14/2026,7/16/2026,Fill,Primary,WA262,PILOT,105.9,,Y,Under,WA262,72.1,,,OR182,,N,Total Noncompliant Cost,PILOT,LOVES,-10.614407
220713,Line Haul,DHAIK7A-01,7/14/2026,1,7/14/2026,7/16/2026,Fill,Primary,WA262,PILOT,105.9,,Y,Under,WA262,72.1,,,OR182,,N,Location Noncompliant Cost,PILOT,LOVES,0
220713,Line Haul,DHAIK7A-01,7/14/2026,1,7/14/2026,7/16/2026,Fill,Primary,WA262,PILOT,105.9,,Y,Under,WA262,72.1,,,OR182,,N,Gallon Over/Under Cost,PILOT,LOVES,-10.614407
220713,Line Haul,DHAIK7A-01,7/14/2026,1,7/14/2026,7/16/2026,Fill,Primary,WA262,PILOT,105.9,,Y,Under,WA262,72.1,,,OR182,,N,Gallon Over/Under,PILOT,LOVES,33.82
220713,Line Haul,DHAIK7A-01,7/14/2026,1,7/14/2026,7/16/2026,Fill,Primary,WA262,PILOT,105.9,,Y,Under,WA262,72.1,,,OR182,,N,Fuel Rec Count,PILOT,LOVES,1
220713,Line Haul,DHAIQB5-01,7/19/2026,1,7/19/2026,7/21/2026,Fill,Primary,WA262,PILOT,132.3,,Y,Under,WA262,77.6,,,WA202,,N,Total Noncompliant Cost,PILOT,LOVES,3.128840000
220713,Line Haul,DHAIQB5-01,7/19/2026,1,7/19/2026,7/21/2026,Fill,Primary,WA262,PILOT,132.3,,Y,Under,WA262,77.6,,,WA202,,N,Location Noncompliant Cost,PILOT,LOVES,0
220713,Line Haul,DHAIQB5-01,7/19/2026,1,7/19/2026,7/21/2026,Fill,Primary,WA262,PILOT,132.3,,Y,Under,WA262,77.6,,,WA202,,N,Gallon Over/Under Cost,PILOT,LOVES,3.128840000
220713,Line Haul,DHAIQB5-01,7/19/2026,1,7/19/2026,7/21/2026,Fill,Primary,WA262,PILOT,132.3,,Y,Under,WA262,77.6,,,WA202,,N,Gallon Over/Under,PILOT,LOVES,54.7
220713,Line Haul,DHAIQB5-01,7/19/2026,1,7/19/2026,7/21/2026,Fill,Primary,WA262,PILOT,132.3,,Y,Under,WA262,77.6,,,WA202,,N,Fuel Rec Count,PILOT,LOVES,1
220947,Line Haul,APU7150-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,WA262,PILOT,113.4,,Y,Under,WA262,89.6,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-0.954957240
220947,Line Haul,APU7150-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,WA262,PILOT,113.4,,Y,Under,WA262,89.6,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220947,Line Haul,APU7150-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,WA262,PILOT,113.4,,Y,Under,WA262,89.6,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-0.954957240
220947,Line Haul,APU7150-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,WA262,PILOT,113.4,,Y,Under,WA262,89.6,,,WA262,,N,Gallon Over/Under,PILOT,PILOT,23.78
220947,Line Haul,APU7150-01,6/5/2026,1,6/5/2026,6/7/2026,Fill,Primary,WA262,PILOT,113.4,,Y,Under,WA262,89.6,,,WA262,,N,Fuel Rec Count,PILOT,PILOT,1
220947,Line Haul,AQC3378-01,6/7/2026,1,6/8/2026,6/9/2026,Fill,Primary,WA262,PILOT,100.2,,Y,Under,WA262,74.9,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-2.322540000
220947,Line Haul,AQC3378-01,6/7/2026,1,6/8/2026,6/9/2026,Fill,Primary,WA262,PILOT,100.2,,Y,Under,WA262,74.9,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220947,Line Haul,AQC3378-01,6/7/2026,1,6/8/2026,6/9/2026,Fill,Primary,WA262,PILOT,100.2,,Y,Under,WA262,74.9,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-2.322540000
220947,Line Haul,AQC3378-01,6/7/2026,1,6/8/2026,6/9/2026,Fill,Primary,WA262,PILOT,100.2,,Y,Under,WA262,74.9,,,WA262,,N,Gallon Over/Under,PILOT,PILOT,25.3
220947,Line Haul,AQC3378-01,6/7/2026,1,6/8/2026,6/9/2026,Fill,Primary,WA262,PILOT,100.2,,Y,Under,WA262,74.9,,,WA262,,N,Fuel Rec Count,PILOT,PILOT,1
220947,Line Haul,AQH7023-01,6/14/2026,1,6/15/2026,6/16/2026,Fill,Primary,WA262,PILOT,144.4,,Y,Under,WA262,133.1,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-0.089676950
220947,Line Haul,AQH7023-01,6/14/2026,1,6/15/2026,6/16/2026,Fill,Primary,WA262,PILOT,144.4,,Y,Under,WA262,133.1,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220947,Line Haul,AQH7023-01,6/14/2026,1,6/15/2026,6/16/2026,Fill,Primary,WA262,PILOT,144.4,,Y,Under,WA262,133.1,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-0.089676950
220947,Line Haul,AQH7023-01,6/14/2026,1,6/15/2026,6/16/2026,Fill,Primary,WA262,PILOT,144.4,,Y,Under,WA262,133.1,,,WA262,,N,Gallon Over/Under,PILOT,PILOT,11.33
220947,Line Haul,AQH7023-01,6/14/2026,1,6/15/2026,6/16/2026,Fill,Primary,WA262,PILOT,144.4,,Y,Under,WA262,133.1,,,WA262,,N,Fuel Rec Count,PILOT,PILOT,1
220947,Line Haul,AQH7257-01,6/9/2026,1,6/9/2026,6/12/2026,Fill,Primary,WA262,PILOT,152.5,,Y,Under,WA262,120.6,,,WA262,,N,Total Noncompliant Cost,PILOT,PILOT,-1.387409720
220947,Line Haul,AQH7257-01,6/9/2026,1,6/9/2026,6/12/2026,Fill,Primary,WA262,PILOT,152.5,,Y,Under,WA262,120.6,,,WA262,,N,Location Noncompliant Cost,PILOT,PILOT,0
220947,Line Haul,AQH7257-01,6/9/2026,1,6/9/2026,6/12/2026,Fill,Primary,WA262,PILOT,152.5,,Y,Under,WA262,120.6,,,WA262,,N,Gallon Over/Under Cost,PILOT,PILOT,-1.387409720
